ID	observed_otus
SRR9207262	305
SRR9207263	189
SRR9207264	285
SRR9207265	280
SRR9207266	307
SRR9207267	158
SRR9207268	205
SRR9207269	197
SRR9207270	171
SRR9207271	195
SRR9207272	207
SRR9207273	137
SRR9207274	316
SRR9207275	300
SRR9207276	191
SRR9207277	196
SRR9207278	172
SRR9207279	207
SRR9207280	111
SRR9207281	184
SRR9207282	177
SRR9207283	100
SRR9207284	367
SRR9207285	216
SRR9207286	258
SRR9207287	240
SRR9207288	325
SRR9207289	315
SRR9207290	332
SRR9207291	208
SRR9207292	141
SRR9207293	102
SRR9207294	325
SRR9207295	213
SRR9207296	147
SRR9207297	148
SRR9207298	245
SRR9207299	129
SRR9207300	194
SRR9207301	96
SRR9207302	234
SRR9207303	123
SRR9207304	332
SRR9207305	168
SRR9207306	173
SRR9207307	233
SRR9207308	181
SRR9207309	256
