ID	simpson
SRR15885102	0.99710192
SRR15885103	0.99295792
SRR15885104	0.99763832
SRR15885105	0.99558376
SRR15885106	0.9969108
SRR15885107	0.99353112
SRR15885108	0.997364
SRR15885109	0.99582504
SRR15885110	0.99748016
SRR15885111	0.99690112
SRR15885112	0.99666088
SRR15885113	0.98495728
SRR15885114	0.99792768
SRR15885115	0.9877896
SRR15885116	0.99582056
SRR15885117	0.99569912
SRR15885118	0.99322576
SRR15885120	0.99471248
SRR15885121	0.9923324
SRR15885122	0.994436
SRR15885123	0.99760152
SRR15885124	0.99325208
SRR15885126	0.99065816
SRR15885127	0.99683888
SRR15885128	0.9981556
SRR15885129	0.99674568
SRR15885130	0.99750304
SRR15885131	0.9915624
SRR15885132	0.99429208
SRR15885133	0.9947984
SRR15885134	0.99483568
SRR15885135	0.9981144
SRR15885136	0.99729592
SRR15885137	0.99727432
SRR15885138	0.99702976
SRR15885139	0.99594448
SRR15885140	0.99690504
SRR15885141	0.99719224
SRR15885142	0.99551824
SRR15885143	0.99091568
SRR15885144	0.98886944
SRR15885145	0.99779184
SRR15885146	0.99273968
SRR15885147	0.99783632
SRR15885148	0.99640936
SRR15885149	0.99756016
SRR15885150	0.99667008
SRR15885151	0.99721496
SRR15885152	0.99446776
SRR15885153	0.99626504
SRR15885154	0.99712328
SRR15885155	0.99758808
SRR15885156	0.99727104
SRR15885157	0.99721848
SRR15885158	0.99770576
SRR15885159	0.99210368
SRR15885160	0.99628112
SRR15885161	0.99741312
SRR15885162	0.98950792
SRR15885163	0.99582256
SRR15885164	0.99755872
SRR15885165	0.99726592
SRR15885166	0.99526336
SRR15885167	0.97585472
SRR15885168	0.99689352
SRR15885169	0.98986752
SRR15885170	0.99638856
SRR15885171	0.99777776
SRR15885172	0.9971704
SRR15885173	0.99495896
SRR15885174	0.99053768
SRR15885175	0.99406432
SRR15885176	0.99658776
SRR15885177	0.99477608
SRR15885178	0.989852
SRR15885179	0.99048352
SRR15885180	0.98833624
SRR15885181	0.99688584
SRR15885182	0.99653896
SRR15885183	0.99523256
SRR15885184	0.99611448
SRR15885185	0.9930884
SRR15885186	0.99692088
SRR15885187	0.99653288
SRR15885188	0.99800592
SRR15885189	0.99549232
SRR15885190	0.99602136
SRR15885191	0.9968896
SRR15885192	0.99698528
SRR15885193	0.89513824
SRR15885194	0.989398
SRR15885195	0.99757112
SRR15885196	0.99624608
SRR15885197	0.99702752
SRR15885198	0.99499152
SRR15885199	0.99304904
SRR15885200	0.99090256
SRR15885201	0.99562584
SRR15885202	0.9899812
SRR15885203	0.9964272
SRR15885204	0.99672168
SRR15885205	0.99648096
SRR15885206	0.997248
SRR15885207	0.99588304
SRR15885208	0.9967172
SRR15885209	0.9937724
SRR15885210	0.99453232
SRR15885211	0.9963816
SRR15885212	0.99716432
SRR15885213	0.99762784
SRR15885214	0.9957808
SRR15885215	0.99726408
SRR15885216	0.97851856
SRR15885217	0.9967992
SRR15885218	0.98720088
SRR15885219	0.97201456
SRR15885220	0.96723536
SRR15885221	0.99312192
SRR15885222	0.9929904
SRR15885223	0.99587112
SRR15885224	0.99605728
SRR15885225	0.9959112
SRR15885226	0.99671312
SRR15885227	0.99509472
SRR15885228	0.99514096
SRR15885229	0.99220088
SRR15885230	0.99397376
SRR15885231	0.99473312
SRR15885232	0.99255784
SRR15885233	0.97301088
SRR15885234	0.99218936
SRR15885235	0.99734504
SRR15885236	0.99495984
SRR15885237	0.9959744
SRR15885238	0.99522152
SRR15885239	0.98798336
SRR15885240	0.99760144
SRR15885242	0.9973584
SRR15885243	0.99472776
SRR15885244	0.99602376
SRR15885245	0.99618944
SRR15885246	0.99798528
SRR15885247	0.99321104
SRR15885248	0.99016128
SRR15885249	0.99693336
SRR15885250	0.99642544
SRR15885251	0.99824336
SRR15885252	0.99726576
SRR15885253	0.99485664
SRR15885254	0.99814496
SRR15885255	0.99526328
SRR15885256	0.99749128
